,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,Half Moon Bay,37.46,-122.43,48.2,93,40,0.78,US,1611975841
39,Saquarema,-22.92,-42.51,82.4,83,0,9.22,BR,1611975841
40,Tuatapere,-46.13,167.68,65.68,46,0,6.13,NZ,1611975842
41,Beni,0.5,29.47,64.17,64,47,1.52,CD,1611975842
42,Avarua,-21.21,-159.78,84.2,74,20,5.75,CK,1611975843
43,Albany,42.6,-73.97,10.99,51,6,5.99,US,1611975843
44,Bijie,27.31,105.29,37.71,88,100,3.33,CN,1611975843
45,Puerto Ayora,-0.74,-90.35,78.01,95,44,5.99,EC,1611975844
46,Manokwari,-0.87,134.08,83.1,64,89,2.86,ID,1611975844
47,Saint Paul Harbor,57.79,-152.41,35.6,55,1,16.11,US,1611975845
48,Hobart,-42.88,147.33,71.6,60,75,11.5,AU,1611975845
49,Marzuq,14.4,46.47,54.77,38,0,1.99,YE,1611975845
50,Mahébourg,-20.41,57.7,78.8,89,75,4.61,MU,1611975845
51,Punta Arenas,-53.15,-70.92,46.4,81,40,20.71,CL,1611975833
52,Basco,20.45,121.97,69.4,73,41,24.58,PH,1611975846
53,Vaini,-21.2,-175.2,80.6,89,90,19.24,TO,1611975847
54,São Filipe,14.9,-24.5,74.64,55,97,9.78,CV,1611975847
55,Cape Town,-33.93,18.42,70.0,88,40,4.61,ZA,1611975554
56,Anloga,5.79,0.9,80.6,83,20,3.44,GH,1611975848
57,Narón,43.52,-8.15,55.99,82,20,10.36,ES,1611975581
58,Taurisano,39.96,18.21,57.0,94,0,9.22,IT,1611975849
59,Esim,4.87,-2.24,77.92,81,1,5.77,GH,1611975849
60,Hasaki,35.73,140.83,45.0,24,20,18.41,JP,1611975810
61,Itoman,26.12,127.67,66.2,45,40,16.11,JP,1611975850
62,Katsuura,35.13,140.3,46.4,31,20,14.97,JP,1611975850
63,Upernavik,72.79,-56.15,-8.64,83,1,10.49,GL,1611975850
64,Hithadhoo,-0.6,73.08,81.64,76,42,12.86,MV,1611975851
65,Khatanga,71.97,102.5,-43.28,75,0,3.24,RU,1611975851
66,Salalah,17.02,54.09,69.8,64,40,4.61,OM,1611975739
67,Beaufort,5.35,115.75,86.0,62,20,1.14,MY,1611975852
68,Kruisfontein,-34.0,24.73,55.99,89,0,3.8,ZA,1611975852
69,Ahipara,-35.17,173.17,67.82,66,71,3.94,NZ,1611975852
70,Sitka,57.05,-135.33,39.2,48,90,16.11,US,1611975853
71,Atuona,-9.8,-139.03,78.46,80,11,17.34,PF,1611975853
72,Berlevåg,70.86,29.09,24.69,95,100,16.51,NO,1611975853
73,Ushuaia,-54.8,-68.3,42.8,75,40,17.27,AR,1611975809
74,Saint-Augustin,51.23,-58.65,13.35,91,29,11.77,CA,1611975569
75,Saskylakh,71.92,114.08,-38.6,76,0,2.42,RU,1611975854
76,Rocky Mountain House,52.37,-114.92,1.4,78,0,2.3,CA,1611975802
77,Jamestown,42.1,-79.24,19.0,73,90,13.8,US,1611975856
78,Bethel,41.37,-73.41,14.0,52,1,5.75,US,1611975856
79,Manta,-0.95,-80.73,80.6,78,75,4.61,EC,1611975557
80,Yumen,40.28,97.2,26.64,69,0,22.21,CN,1611975858
81,Gorontalo,0.54,123.06,85.24,69,51,4.65,ID,1611975858
82,Kerema,-7.96,145.78,83.44,71,100,1.01,PG,1611975858
83,Atar,20.52,-13.05,65.17,27,30,11.34,MR,1611975859
84,Srednekolymsk,67.45,153.68,-31.65,84,99,1.74,RU,1611975859
85,Tazovsky,67.47,78.7,-37.89,79,0,4.27,RU,1611975859
86,Qaanaaq,77.48,-69.36,-13.36,62,0,5.57,GL,1611975860
87,East London,-33.02,27.91,69.3,72,35,2.86,ZA,1611975860
88,Methóni,36.82,21.7,55.99,86,100,1.14,GR,1611975861
89,Bathsheba,13.22,-59.52,77.0,78,40,9.22,BB,1611975668
90,Miranda de Ebro,42.69,-2.95,55.4,71,75,10.36,ES,1611975862
91,Yerbogachën,61.28,108.01,-40.47,79,52,7.16,RU,1611975862
92,The Valley,18.22,-63.06,77.0,83,40,5.75,AI,1611975863
93,Dikson,73.51,80.55,-33.39,84,97,7.94,RU,1611975863
94,Sittwe,20.15,92.9,68.95,45,22,5.91,MM,1611975863
95,Lompoc,34.64,-120.46,44.6,100,1,2.55,US,1611975864
96,Moss Vale,-34.55,150.38,79.0,73,75,10.36,AU,1611975864
97,Salé,34.04,-6.82,61.0,100,75,3.96,MA,1611975865
98,Seoul,37.57,126.98,32.0,64,20,5.75,KR,1611975792
99,Lebu,-37.62,-73.65,56.07,91,67,5.06,CL,1611975866
100,La Santisima Trinidad,-14.83,-64.9,75.69,92,100,4.43,BO,1611975866
101,Taoudenni,22.68,-3.98,66.15,26,0,11.41,ML,1611975867
102,Tuktoyaktuk,69.45,-133.04,-36.4,67,1,2.3,CA,1611975867
103,Katobu,-4.94,122.53,85.78,63,100,6.04,ID,1611975867
104,Bredasdorp,-34.53,20.04,61.0,91,93,4.03,ZA,1611975868
105,Lorengau,-2.02,147.27,85.08,75,100,10.69,PG,1611975868
106,Morbach,49.82,7.12,45.0,93,40,16.11,DE,1611975869
107,Flinders,-34.58,150.86,77.0,84,85,5.01,AU,1611975869
108,Palmer,42.16,-72.33,12.0,56,1,6.91,US,1611975870
109,Naliya,23.27,68.83,61.02,45,0,8.9,IN,1611975870
110,Maragogi,-9.01,-35.22,77.34,83,100,10.13,BR,1611975680
111,Faya,18.39,42.45,53.6,34,0,0.67,SA,1611975871
112,Liaozhong,41.51,122.72,12.2,40,0,11.18,CN,1611975871
113,Krasnyy Chikoy,50.36,108.75,5.02,90,100,2.35,RU,1611975871
114,Mount Gambier,-37.83,140.77,66.2,68,90,10.36,AU,1611975872
115,Byron Bay,-28.65,153.62,82.99,65,75,10.36,AU,1611975872
116,Hokitika,-42.72,170.97,62.78,58,0,8.41,NZ,1611975872
117,Arman',59.7,150.17,-12.33,79,37,13.04,RU,1611975601
118,Tasiilaq,65.61,-37.64,15.8,53,90,21.85,GL,1611975789
119,Touros,-5.2,-35.46,77.0,88,40,4.61,BR,1611975873
120,Castro,-24.79,-50.01,62.65,96,100,3.78,BR,1611975781
121,Baruun-Urt,46.68,113.28,0.84,93,87,9.4,MN,1611975739
122,Talnakh,69.49,88.4,-31.63,65,3,3.0,RU,1611975874
123,Vanavara,60.34,102.28,-37.73,78,52,9.35,RU,1611975875
124,Shache,38.42,77.24,22.91,82,0,2.42,CN,1611975875
125,Puyang,29.46,119.89,52.65,53,0,2.39,CN,1611975875
126,Paamiut,61.99,-49.67,33.51,83,90,8.28,GL,1611975876
127,Mar del Plata,-38.0,-57.56,66.99,88,96,15.05,AR,1611975876
128,Grand Gaube,-20.01,57.66,82.0,79,2,5.99,MU,1611975876
129,Christchurch,-43.53,172.63,66.0,45,40,4.61,NZ,1611975877
130,Bambous Virieux,-20.34,57.76,82.0,89,75,4.61,MU,1611975877
131,Suleja,9.18,7.18,73.96,20,1,8.46,NG,1611975877
132,Kolpny,52.23,37.04,17.94,97,30,9.73,RU,1611975878
133,Rostovka,55.38,71.89,6.98,94,88,6.13,RU,1611975878
134,Sloboda,51.14,40.3,30.51,97,100,14.14,RU,1611975879
135,Çay,38.59,31.03,30.38,86,90,5.61,TR,1611975879
136,Longyearbyen,78.22,15.64,-0.4,50,20,19.57,SJ,1611975880
137,Mahon,39.89,4.27,51.8,93,0,4.61,ES,1611975880
138,Bucine,43.48,11.61,48.0,92,63,2.28,IT,1611975880
139,Yangi Marg`ilon,40.43,71.72,26.6,59,41,6.91,UZ,1611975881
140,Camaná,-16.62,-72.71,69.66,78,0,7.52,PE,1611975881
141,Phalombe,-15.81,35.65,67.53,92,98,2.15,MW,1611975881
142,Giruá,-28.03,-54.35,69.01,94,13,7.92,BR,1611975655
143,Palimbang,6.21,124.19,85.44,58,92,2.98,PH,1611975882
144,Lagoa,39.05,-27.98,59.79,82,100,19.1,PT,1611975882
145,Adrar,20.5,-10.07,62.69,27,0,10.8,MR,1611975883
146,Arraial do Cabo,-22.97,-42.03,77.0,83,47,25.1,BR,1611975883
147,San Andrés,12.58,-81.7,80.6,69,20,11.5,CO,1611975884
148,Provideniya,64.38,-173.3,-7.35,81,6,3.69,RU,1611975884
149,Okitipupa,6.5,4.78,75.34,97,65,1.92,NG,1611975884
150,Namatanai,-3.67,152.43,85.23,73,31,13.89,PG,1611975885
151,New Norfolk,-42.78,147.06,71.6,60,75,11.5,AU,1611975885
152,Benguela,-12.58,13.41,75.43,80,97,2.08,AO,1611975886
153,Fortuna,40.6,-124.16,48.0,76,90,9.22,US,1611975886
154,Chicama,-7.84,-79.15,73.26,69,88,6.4,PE,1611975886
155,Port Hardy,50.7,-127.42,42.8,87,90,20.71,CA,1611975780
156,Ghanzi,-21.57,21.78,67.41,87,77,4.23,BW,1611975887
157,Taltal,-25.4,-70.48,63.55,74,6,1.3,CL,1611975887
158,Cayenne,4.93,-52.33,77.0,100,75,9.22,GF,1611975610
159,Tahoua,14.89,5.27,64.56,25,2,14.25,NE,1611975888
160,Bilma,18.69,12.92,59.16,30,26,7.36,NE,1611975888
161,Fare,-16.7,-151.02,80.38,67,100,2.35,PF,1611975889
162,Yatou,37.15,122.38,41.56,62,0,7.81,CN,1611975889
163,George Town,5.41,100.34,84.2,65,20,8.05,MY,1611975830
164,Hilo,19.73,-155.09,75.2,73,90,6.91,US,1611975890
165,Beloha,-25.17,45.05,76.37,79,0,5.37,MG,1611975890
166,Saldanha,-33.01,17.94,65.12,83,46,12.03,ZA,1611975891
167,Parkhill,43.15,-81.68,25.0,79,97,7.0,CA,1611975891
168,Chui,-33.7,-53.46,67.73,92,4,1.74,UY,1611975891
169,Santiago del Estero,-27.8,-64.26,85.15,48,76,7.16,AR,1611975892
170,Kaitangata,-46.28,169.85,57.99,71,24,11.01,NZ,1611975893
171,Termoli,41.99,14.99,43.0,96,62,1.99,IT,1611975893
172,Hermitage,41.23,-80.45,19.99,67,75,3.44,US,1611975893
173,Nanortalik,60.14,-45.24,32.22,91,98,7.65,GL,1611975894
174,Los Llanos de Aridane,28.66,-17.92,64.4,82,75,5.75,ES,1611975894
175,Safi,32.3,-9.24,57.42,91,18,10.16,MA,1611975895
176,Khovd,48.01,91.64,14.2,72,100,1.16,MN,1611975895
177,Itarema,-2.92,-39.92,78.91,84,97,11.34,BR,1611975895
178,Prainha,-1.8,-53.48,74.41,93,47,3.44,BR,1611975896
179,Paro,27.43,89.41,42.46,49,0,1.63,BT,1611975896
180,Arlit,18.74,7.39,55.11,33,0,2.15,NE,1611975896
181,Karpogory,64.0,44.45,18.95,97,100,8.1,RU,1611975897
182,City of San Pedro,14.35,121.02,82.99,57,40,11.5,PH,1611975897
183,Hong Kong,22.29,114.16,63.0,63,0,5.99,HK,1611975867
184,Bengkulu,-3.8,102.27,83.71,65,100,1.61,ID,1611975898
185,Husavik,66.04,-17.34,20.35,91,59,9.91,IS,1611975898
186,General Pico,-35.66,-63.76,66.22,65,100,6.11,AR,1611975898
187,Severiano Melo,-5.78,-37.96,77.68,73,100,10.18,BR,1611975899
188,Kungurtug,50.6,97.52,18.37,89,100,8.79,RU,1611975899
189,Kedrovyy,56.17,91.82,-5.8,71,40,17.9,RU,1611975899
190,Fort Nelson,58.81,-122.7,-11.2,77,75,3.44,CA,1611975605
191,Peniche,39.36,-9.38,57.99,97,100,15.01,PT,1611975900
192,Fairbanks,64.84,-147.72,1.0,77,1,2.86,US,1611975605
193,Presov,49.17,21.25,30.99,99,100,2.39,SK,1611975901
194,Shingū,33.73,135.98,42.8,52,40,17.27,JP,1611975901
195,Macklin,52.33,-109.93,-2.2,100,49,2.3,CA,1611975902
196,Kwang Binh,17.48,106.6,68.36,86,96,7.9,VN,1611975902
197,Ostrovnoy,68.05,39.51,8.69,94,100,17.27,RU,1611975903
198,Varnavino,57.4,45.09,22.64,97,96,9.44,RU,1611975903
199,Lagos,6.58,3.75,78.3,88,96,3.89,NG,1611975903
200,Ancud,-41.87,-73.82,54.0,71,0,16.11,CL,1611975904
201,Zhigansk,66.77,123.37,-42.75,80,100,3.49,RU,1611975904
202,Hue,16.47,107.6,73.4,73,40,3.44,VN,1611975905
203,Ballina,-28.87,153.57,82.99,65,75,10.36,AU,1611975905
204,Leningradskiy,69.38,178.42,-22.5,85,100,8.3,RU,1611975906
205,Norman Wells,65.28,-126.83,-34.6,67,40,4.52,CA,1611975906
206,Nazaré,-13.04,-39.01,72.99,93,94,2.17,BR,1611975907
207,Caguas,18.23,-66.05,72.0,88,0,1.01,PR,1611975907
208,Naze,28.37,129.48,60.8,48,40,16.11,JP,1611975907
209,Marabu,4.41,114.01,84.2,84,40,9.22,MY,1611975908
210,Sārangarh,21.6,83.08,66.04,37,0,4.21,IN,1611975908
211,Lima,-12.04,-77.03,75.0,78,0,11.5,PE,1611975743
212,Anzio,41.49,12.62,53.01,81,0,5.75,IT,1611975909
213,Sioux Lookout,50.1,-91.92,8.6,72,75,5.75,CA,1611975909
214,Yar-Sale,66.83,70.83,-38.27,82,45,4.25,RU,1611975910
215,Bariloche,-41.15,-71.31,53.6,71,0,6.91,AR,1611975911
216,Anzhero-Sudzhensk,56.08,86.03,-18.4,76,0,6.71,RU,1611975911
217,San Quintín,30.48,-115.95,56.43,75,1,9.91,MX,1611975911
218,Sola,-13.88,167.55,80.65,84,100,9.8,VU,1611975912
219,Tiksi,71.69,128.87,-30.55,85,100,5.21,RU,1611975912
220,Salgar,5.96,-75.97,59.0,100,40,4.61,CO,1611975913
221,Chara,56.91,118.26,-30.8,77,64,0.87,RU,1611975913
222,Soyo,-6.13,12.37,77.94,83,100,5.84,AO,1611975914
223,San Jose,37.34,-121.89,50.0,71,40,3.44,US,1611975821
224,Mingguang,32.78,117.96,51.08,47,0,5.37,CN,1611975915
225,Ashoknagar,24.57,77.72,53.85,40,0,1.74,IN,1611975916
226,Iqaluit,63.75,-68.51,-13.0,70,1,19.57,CA,1611975916
227,Geraldton,-28.77,114.6,98.6,18,0,18.41,AU,1611975917
228,Tilichiki,60.47,166.1,-0.92,94,100,11.72,RU,1611975917
229,Nantucket,41.28,-70.1,21.2,79,75,27.63,US,1611975917
230,Butaritari,3.07,172.79,80.46,78,99,15.39,KI,1611975918
231,Aksu,41.12,80.26,21.43,78,0,2.24,CN,1611975918
232,São Miguel do Araguaia,-13.28,-50.16,72.77,89,100,2.89,BR,1611975918
233,Caravelas,-17.71,-39.25,75.34,88,0,5.79,BR,1611975919
234,Port Alfred,-33.59,26.89,64.99,83,6,1.01,ZA,1611975919
235,Hamadan,34.8,48.51,32.94,92,56,7.34,IR,1611975694
236,Umluj,25.02,37.27,62.56,49,0,10.22,SA,1611975920
237,Annau,37.89,58.52,51.8,50,75,9.22,TM,1611975920
238,Dzhida,50.68,106.18,3.49,90,98,4.74,RU,1611975921
239,Cabo San Lucas,22.89,-109.91,69.01,82,1,4.61,MX,1611975921
240,St. George's,12.06,-61.75,77.0,78,40,13.22,GD,1611975922
241,Eston,51.15,-108.75,5.0,85,90,4.61,CA,1611975923
242,Constitución,-35.33,-72.42,61.45,95,100,8.1,CL,1611975923
243,Uvalde,29.37,-99.77,62.01,67,90,3.44,US,1611975923
244,Dingle,11.0,122.67,76.93,85,100,17.02,PH,1611975924
245,Bom Sucesso,-21.03,-44.76,68.31,82,100,2.01,BR,1611975924
246,Monticello,45.31,-93.79,24.8,74,90,13.85,US,1611975924
247,Purwokerto,-7.42,109.23,78.66,79,100,1.61,ID,1611975925
248,Whitehorse,60.72,-135.05,0.0,78,75,10.36,CA,1611975925
249,Changji,44.02,87.32,1.4,92,40,2.24,CN,1611975925
250,Longhua,23.61,114.19,72.75,35,0,1.5,CN,1611975926
251,Ukiah,39.15,-123.21,46.4,76,75,0.89,US,1611975926
252,Baykit,61.67,96.37,-38.56,75,98,4.36,RU,1611975926
253,Chakwal,32.93,72.86,46.56,48,0,6.15,PK,1611975927
254,Buenaventura,3.88,-77.03,64.99,75,94,1.48,CO,1611975928
255,Yenagoa,4.92,6.26,77.45,92,91,2.62,NG,1611975928
256,Ilulissat,69.22,-51.1,-0.4,55,0,8.05,GL,1611975929
257,Nena,11.77,125.42,78.19,82,100,18.41,PH,1611975929
258,Klaksvík,62.23,-6.59,32.0,74,90,15.19,FO,1611975930
259,Durant,33.99,-96.37,52.0,66,1,5.75,US,1611975930
260,Broken Hill,-31.95,141.43,78.8,38,1,18.41,AU,1611975930
261,Acapulco de Juárez,16.86,-99.89,80.6,83,90,5.75,MX,1611975770
262,Timberlake,37.32,-79.26,26.6,54,1,3.18,US,1611975931
263,Hīt,33.64,42.83,48.15,62,5,6.31,IQ,1611975931
264,Allen,41.07,-85.01,24.8,74,75,5.75,US,1611975932
265,Pevek,69.7,170.31,-29.94,85,16,3.44,RU,1611975932
266,Marrakesh,31.63,-8.01,53.6,66,0,3.44,MA,1611975933
267,Coyhaique,-45.58,-72.07,46.4,76,0,2.3,CL,1611975933
268,‘Ewa Beach,21.32,-158.01,78.8,57,1,10.36,US,1611975933
269,Coahuayana Viejo,18.73,-103.68,73.27,75,100,1.52,MX,1611975934
270,Bourail,-21.57,165.48,78.85,73,77,10.6,NC,1611975934
271,Tūkrah,32.53,20.58,60.15,81,42,18.3,LY,1611975935
272,Makiwalo,12.51,124.71,75.97,88,100,17.47,PH,1611975935
273,Berdigestyakh,62.1,126.7,-41.44,78,100,1.1,RU,1611975935
274,Ayan,56.45,138.17,-4.31,83,100,0.92,RU,1611975936
275,Ilhabela,-23.78,-45.36,79.52,76,100,3.11,BR,1611975639
276,Lavrentiya,65.58,-171.0,-18.29,81,0,9.73,RU,1611975936
277,Inuvik,68.35,-133.72,-27.4,68,77,2.3,CA,1611975937
278,Yulara,-25.24,130.99,89.6,33,40,18.41,AU,1611975937
279,Port Elizabeth,-33.92,25.57,59.0,82,0,3.44,ZA,1611975937
280,Vertientes,21.26,-78.15,66.2,77,75,6.91,CU,1611975938
281,Makakilo City,21.35,-158.09,78.8,57,1,10.36,US,1611975938
282,Sibolga,1.74,98.78,80.69,74,100,2.82,ID,1611975939
283,Hagenow,53.43,11.18,32.0,94,100,5.01,DE,1611975939
284,Kasongo-Lunda,-6.47,16.82,68.68,92,100,0.81,CD,1611975939
285,Hofn,64.25,-15.21,32.54,80,56,5.7,IS,1611975789
286,Te Anau,-45.42,167.72,66.49,44,1,2.59,NZ,1611975940
287,Eyl,7.98,49.82,69.53,84,19,11.32,SO,1611975941
288,Poum,-20.23,164.02,81.05,72,15,9.51,NC,1611975941
289,Dunedin,-45.87,170.5,55.0,73,3,18.99,NZ,1611975941
290,Novy Urengoy,66.08,76.63,-40.29,80,4,4.63,RU,1611975892
291,Rivadavia,-33.19,-68.46,78.8,36,20,13.8,AR,1611975851
292,Chāndpur,29.15,78.27,48.85,50,0,8.59,IN,1611975942
293,Rundu,-17.93,19.77,66.34,93,100,0.69,NA,1611975943
294,Bridlington,54.08,-0.19,36.0,86,100,7.0,GB,1611975943
295,Bereda,43.27,-7.54,48.99,96,67,11.99,ES,1611975943
296,Luang Prabang,19.89,102.13,68.0,77,75,2.3,LA,1611975944
297,Svetlaya,46.54,138.33,10.22,92,100,9.86,RU,1611975944
298,Ambulu,-8.35,113.61,79.02,83,100,4.27,ID,1611975944
299,Belyy Yar,53.6,91.39,24.8,63,0,11.18,RU,1611975945
300,Yekaterinovka,52.05,44.35,31.53,98,100,21.77,RU,1611975945
301,Khulo,41.64,42.31,42.8,93,90,4.61,GE,1611975945
302,Jacmel,18.23,-72.53,77.0,65,4,11.5,HT,1611975946
303,Shebunino,46.43,141.86,20.8,92,100,12.64,RU,1611975946
304,Cherskiy,68.75,161.3,-33.59,83,6,2.84,RU,1611975946
305,Vermillion,42.78,-96.93,28.99,93,75,9.22,US,1611975719
306,Taunggyi,20.78,97.03,68.09,59,0,9.24,MM,1611975947
307,Hotaka,36.34,137.88,36.0,25,20,5.75,JP,1611975948
308,Kaseda-shirakame,31.42,130.32,42.8,39,20,12.66,JP,1611975948
309,Chapais,49.78,-74.85,-0.4,85,90,9.22,CA,1611975948
310,Akdepe,42.06,59.38,37.4,65,86,6.91,TM,1611975949
311,Batamshinskiy,50.56,58.27,15.8,86,0,13.42,KZ,1611975949
312,Vila Velha,-20.33,-40.29,78.8,78,40,5.75,BR,1611975710
313,Haines Junction,60.75,-137.51,-9.4,84,100,1.14,CA,1611975950
314,Pacific Grove,36.62,-121.92,48.0,87,1,3.44,US,1611975950
315,Kiruna,67.86,20.23,-0.4,85,90,4.81,SE,1611975950
316,Batemans Bay,-35.72,150.18,80.01,77,45,4.0,AU,1611975951
317,Kloulklubed,7.04,134.26,86.0,62,75,13.8,PW,1611975951
318,Ponta do Sol,32.67,-17.1,57.99,76,11,1.99,PT,1611975951
319,Altamirano,16.88,-92.15,53.47,100,77,1.57,MX,1611975952
320,Airai,-8.93,125.41,63.9,100,100,4.07,TL,1611975952
321,Vila Franca do Campo,37.72,-25.43,59.0,94,20,10.36,PT,1611975952
322,Tongchuanshi,35.08,109.09,40.41,52,91,5.5,CN,1611975953
323,Narsaq,60.92,-46.05,42.8,33,75,26.46,GL,1611975953
324,Qandala,11.47,49.87,70.27,76,23,1.43,SO,1611975953
325,Ribas do Rio Pardo,-20.44,-53.76,72.72,84,94,3.29,BR,1611975954
326,Shiyan,32.65,110.78,48.0,87,39,11.99,CN,1611975954
327,Broome,42.25,-75.83,10.0,78,90,3.44,US,1611975954
328,Laguna,38.42,-121.42,48.0,87,1,4.61,US,1611975955
329,Dukat,62.55,155.55,-28.59,82,100,5.1,RU,1611975955
330,Gold Coast,-28.0,153.43,84.99,61,90,10.36,AU,1611975956
331,Grindavik,63.84,-22.43,33.8,80,75,3.44,IS,1611975956
332,Galle,6.04,80.22,78.44,81,6,0.89,LK,1611975957
333,Tyukhtet,56.54,89.3,-18.38,87,85,7.61,RU,1611975957
334,Taupo,-38.68,176.08,72.0,42,15,5.99,NZ,1611975957
335,Kaita,34.37,132.55,46.4,56,40,9.22,JP,1611975958
336,Visim,57.65,59.5,7.63,95,100,6.6,RU,1611975958
337,Kavieng,-2.57,150.8,84.31,76,100,14.52,PG,1611975959
338,São João da Barra,-21.64,-41.05,77.68,80,16,21.81,BR,1611975716
339,Petropavlovsk-Kamchatskiy,53.05,158.65,24.8,50,20,15.66,RU,1611975959
340,Coihueco,-36.62,-71.83,60.8,100,90,10.36,CL,1611975789
341,Mabaruma,8.2,-59.78,73.22,91,14,3.94,GY,1611975960
342,Sisimiut,66.94,-53.67,8.11,84,0,9.82,GL,1611975960
343,Yantikovo,55.82,47.91,23.0,93,90,8.95,RU,1611975961
344,Felanitx,39.47,3.15,54.0,93,20,7.09,ES,1611975961
345,Walvis Bay,-22.96,14.51,66.99,82,16,9.22,NA,1611975961
346,Jalalabad,34.43,70.45,45.36,45,0,1.34,AF,1611975962
347,Hobyo,5.35,48.53,74.88,79,36,15.43,SO,1611975962
348,Tabou,4.42,-7.35,77.14,89,0,5.06,CI,1611975963
349,Hunchun,42.87,130.36,13.71,84,70,5.64,CN,1611975963
350,Hoa Binh,20.81,105.34,62.6,77,75,5.75,VN,1611975964
351,Ankara,39.92,32.85,30.99,74,75,3.53,TR,1611975869
352,Port Blair,11.67,92.75,82.8,69,22,9.53,IN,1611975964
353,Goderich,43.75,-81.72,26.6,63,100,16.11,CA,1611975965
354,Olinda,-8.01,-34.86,78.8,69,40,8.05,BR,1611975823
355,Calama,-22.47,-68.93,50.9,42,0,2.33,CL,1611975847
356,Edgewater,28.99,-80.9,53.6,76,90,4.61,US,1611975966
357,Torbay,47.67,-52.73,28.0,93,90,26.46,CA,1611975798
358,Paita,-5.09,-81.11,75.54,74,69,12.82,PE,1611975966
359,Paragominas,-2.97,-47.48,72.7,99,100,2.62,BR,1611975967
360,Padang,-0.95,100.35,80.6,78,40,4.61,ID,1611975967
361,La Ronge,55.1,-105.28,8.6,85,71,4.61,CA,1611975968
362,San Javier,37.81,-0.84,57.99,87,0,1.14,ES,1611975968
363,Ziro,27.63,93.83,47.07,67,31,1.48,IN,1611975969
364,Rio Grande,-32.03,-52.1,75.99,93,34,3.94,BR,1611975858
365,Buta,2.79,24.73,69.57,88,75,3.02,CD,1611975969
366,Ronneby,56.21,15.28,17.6,93,3,5.75,SE,1611975970
367,Souris,49.62,-100.26,19.4,86,90,10.36,CA,1611975970
368,Iquique,-20.22,-70.14,69.8,73,0,12.66,CL,1611975729
369,Carballo,43.21,-8.69,55.0,82,20,10.36,ES,1611975971
370,Khartoum,15.55,32.53,62.01,25,0,13.8,SD,1611975896
371,Meulaboh,4.14,96.13,82.15,70,83,0.98,ID,1611975971
372,Beitbridge,-22.22,30.0,74.16,83,91,11.86,ZW,1611975972
373,Nosy Varika,-20.58,48.53,76.28,85,73,3.87,MG,1611975972
